hrt_value,t_value
71880.0,1067.936652
71906.0,1067.976788
71918.0,1068.016913
71928.0,1068.057043
71939.0,1068.097196
71951.0,1068.137334
71935.0,1068.177474
71848.0,1068.217622
71739.0,1068.257767
71699.0,1068.297892
71689.0,1068.338
71695.0,1068.378155
71704.0,1068.418288
71717.0,1068.458416
71724.0,1068.498914
71722.0,1068.539058
71712.0,1068.579182
71712.0,1068.619332
71720.0,1068.659444
71739.0,1068.699551
71753.0,1068.739673
71781.0,1068.779809
71797.0,1068.819941
71806.0,1068.860086
71821.0,1068.900212
71829.0,1068.940347
71848.0,1068.980488
71855.0,1069.020628
71862.0,1069.060777
71881.0,1069.100908
71889.0,1069.141057
71883.0,1069.181201
71812.0,1069.22136
71691.0,1069.261509
71627.0,1069.301651
71597.0,1069.34179
71591.0,1069.381908
71588.0,1069.422032
71595.0,1069.462168
71588.0,1069.502293
71580.0,1069.542431
71552.0,1069.582558
71545.0,1069.622699
71535.0,1069.662855
71543.0,1069.702997
71559.0,1069.743148
71577.0,1069.783646
71587.0,1069.823616
71603.0,1069.863766
71612.0,1069.903894
71628.0,1069.944008
71636.0,1069.984165
71658.0,1070.024304
71668.0,1070.064443
71677.0,1070.104558
71624.0,1070.1447
71519.0,1070.184856
71448.0,1070.224998
71425.0,1070.265148
71422.0,1070.305274
71438.0,1070.345412
71455.0,1070.38555
71459.0,1070.4257
71451.0,1070.465855
71433.0,1070.505997
71428.0,1070.546143
71434.0,1070.586262
71436.0,1070.626397
71458.0,1070.666723
71480.0,1070.706871
71489.0,1070.747001
71510.0,1070.787139
71529.0,1070.827262
71540.0,1070.867396
71559.0,1070.907515
71569.0,1070.947637
71584.0,1070.987788
71603.0,1071.02793
71622.0,1071.068076
71626.0,1071.108182
71559.0,1071.148293
71437.0,1071.1888
71374.0,1071.228912
71341.0,1071.269059
71333.0,1071.309181
71340.0,1071.349299
71356.0,1071.389452
71360.0,1071.429596
71351.0,1071.469737
71343.0,1071.50988
71335.0,1071.550009
71335.0,1071.590149
71358.0,1071.630272
71377.0,1071.670397
71395.0,1071.71053
71417.0,1071.75066
71434.0,1071.790805
71458.0,1071.830942
71469.0,1071.871086
71489.0,1071.911201
71504.0,1071.951348
71525.0,1071.991489
71528.0,1072.031614
71499.0,1072.071778
71393.0,1072.112098
71325.0,1072.152243
71294.0,1072.192378
71288.0,1072.232522
71290.0,1072.272651
71311.0,1072.31279
71320.0,1072.352921
71319.0,1072.393067
71304.0,1072.433195
71302.0,1072.473346
71301.0,1072.513488
71327.0,1072.553598
71347.0,1072.593715
71371.0,1072.633867
71383.0,1072.674192
71412.0,1072.714347
71428.0,1072.754488
71453.0,1072.794612
71471.0,1072.834777
71490.0,1072.874894
71509.0,1072.91501
71506.0,1072.955161
71416.0,1072.995291
71301.0,1073.035413
71235.0,1073.075557
71208.0,1073.115721
71194.0,1073.155872
71202.0,1073.195997
71220.0,1073.236153
71232.0,1073.276284
71222.0,1073.316431
71211.0,1073.356595
71200.0,1073.39675
71215.0,1073.436887
71233.0,1073.477013
71258.0,1073.517142
71280.0,1073.557274
71302.0,1073.597413
71324.0,1073.637557
71336.0,1073.6777
71361.0,1073.717818
71378.0,1073.75797
71399.0,1073.798112
71414.0,1073.83826
71427.0,1073.878386
71427.0,1073.91852
71325.0,1073.958651
71222.0,1073.998791
71168.0,1074.039273
71145.0,1074.079414
71134.0,1074.119551
71140.0,1074.159696
71155.0,1074.199819
71160.0,1074.239971
71142.0,1074.280095
71128.0,1074.320231
71132.0,1074.360355
71140.0,1074.400493
71145.0,1074.44063
71174.0,1074.480778
71194.0,1074.520883
71216.0,1074.561025
71236.0,1074.60117
71252.0,1074.641333
71269.0,1074.681474
71294.0,1074.721799
71319.0,1074.761928
71317.0,1074.802067
71278.0,1074.842181
71185.0,1074.882336
71124.0,1074.922475
71098.0,1074.962616
71091.0,1075.002777
71103.0,1075.042894
71125.0,1075.083025
71135.0,1075.123167
71129.0,1075.163306
71119.0,1075.203446
71117.0,1075.243596
71120.0,1075.283739
71134.0,1075.32388
71156.0,1075.364007
71179.0,1075.404153
71199.0,1075.444271
71214.0,1075.484398
71234.0,1075.524529
71251.0,1075.564837
71267.0,1075.604995
71286.0,1075.645126
71301.0,1075.685261
71320.0,1075.725394
71319.0,1075.765521
71248.0,1075.80567
71136.0,1075.84581
71056.0,1075.885952
71003.0,1075.926085
70974.0,1075.966225
70968.0,1076.006355
70964.0,1076.046493
70963.0,1076.08663
70952.0,1076.126778
70924.0,1076.166909
70913.0,1076.207057
70904.0,1076.247202
70914.0,1076.287355
70922.0,1076.327492
70937.0,1076.367628
70942.0,1076.40778
70955.0,1076.447893
70971.0,1076.488018
70978.0,1076.528168
70993.0,1076.568297
71005.0,1076.608446
71014.0,1076.648951
71015.0,1076.6891
70965.0,1076.729249
70865.0,1076.769386
70784.0,1076.809523
70736.0,1076.849651
70717.0,1076.889798
70721.0,1076.929932
70745.0,1076.970067
70758.0,1077.010201
70752.0,1077.050354
70733.0,1077.09051
70727.0,1077.130639
70742.0,1077.17079
70756.0,1077.210908
70782.0,1077.251057
70807.0,1077.291195
70831.0,1077.331347
70856.0,1077.37149
70879.0,1077.411785
70901.0,1077.451929
70920.0,1077.492033
70953.0,1077.532181
70979.0,1077.572345
71002.0,1077.612489
71032.0,1077.652608
71007.0,1077.692751
70904.0,1077.73288
70814.0,1077.772828
70749.0,1077.812973
70726.0,1077.853098
70719.0,1077.893241
70738.0,1077.933384
70756.0,1077.97351
70772.0,1078.01401
70768.0,1078.054144
70760.0,1078.094261
70763.0,1078.134398
70782.0,1078.174519
70812.0,1078.214652
70847.0,1078.254798
70878.0,1078.29495
70906.0,1078.335093
70932.0,1078.375241
70968.0,1078.415381
70987.0,1078.455519
71013.0,1078.495654
71040.0,1078.535798
71062.0,1078.575941
71091.0,1078.616086
71123.0,1078.656212
71148.0,1078.696352
71185.0,1078.736505
71171.0,1078.776628
71068.0,1078.816781
70967.0,1078.856908
70911.0,1078.897032
70886.0,1078.937184
70886.0,1078.977333
70892.0,1079.017474
70912.0,1079.057613
70923.0,1079.097771
70907.0,1079.137899
70897.0,1079.178032
70900.0,1079.218166
70916.0,1079.258297
70945.0,1079.298427
70971.0,1079.338928
70998.0,1079.379048
71021.0,1079.419185
71053.0,1079.459336
71077.0,1079.49949
71098.0,1079.539629
71121.0,1079.579778
71153.0,1079.619901
71162.0,1079.660031
71194.0,1079.700169
71207.0,1079.740298
71130.0,1079.780446
71022.0,1079.820596
70949.0,1079.86074
70900.0,1079.90088
70886.0,1079.94101
70895.0,1079.981143
70909.0,1080.021275
70913.0,1080.061618
70906.0,1080.1014
